
################################################################################
#          IDS of CJK characters for Yuhao Input Method (Yuniversus)           #
#          URL: https://github.com/forFudan/ids                                #
#          Yuhao Input Method: https://shurufa.app                             #
#          Author: ZHU Yuhao (朱宇浩) <dr.yuhao.zhu@outlook.com>               #
#          Unicode Version: 16.0+                                            #
#          File Date: 2024-09-24                                               #
################################################################################
#
# The progressive Ideographic Sequence Sequence (IDS) of CJK characters in this 
# file is used to generate the divisons for Yuhao Input Method (Yuniversus)], 
# a shape-based Chinese input method, that is able to input all CJK characters, 
# radicals, strokes, Tangut, etc.
#
# There are multiple columns, showing variations of different sources. 
# The sources are listed as follows:
#
# - G (People's Republic of China)
# - T (Taipei Computer Association)
# - H (Hong Kong SAR, PRC)
# - J (Japan)
# - K (Republic of Korea)
# - V (Socialist Republic of Vietnam)
# - U (Unicode Technical Comittee)
# - S (SAṃgaṇikīkṛtaṃ Taiśotripiṭakaṃ, SAT)
# - B (United Kingdom)
# - M (Macau SAR, PRC)
# - P (Democratic People's Republic of Korea)
#
# The characters that are used in the IDS are from:
#
# - CJK and all extensions.
# - Strokes, radicals, and supplements.
# - [Roots of Yuhao IME (Yuniversus)](https://shurufa.app/docs/yuniversus.html).
#
# Due to special rules of Yuniversus that the order of strokes is prioritized, 
# the descriptive characters `⿺`, namely "surround bottom and left side", 
# is replaced by either `⿱` or `⿰`, for specific radicals, e.g, `辶𠃊`. 
# Please be careful in such situations:
#
# - `近 = ⿺辶斤` will be replaced by `⿱斤辶`.
# - `亾 = ⿺𠃊人` will be replaced by `⿱人𠃊`.
#
# You can very welcomed to use, distribute, or modify the IDS in this file. 
# Let us work together to pass the Chinese culture down to the next generations.
#
################################################################################
char,unicode,block,G,T,H,J,K,V,U,S,B,M,P
𲥞,3295E,CJK-J,,,,,,,,,,,
𲥟,3295F,CJK-J,,,,,,,,,,,
𲥠,32960,CJK-J,,,,,,,,,,,
𲥡,32961,CJK-J,,,,,,,,,,,
𲥢,32962,CJK-J,,,,,,,,,,,
𲥣,32963,CJK-J,,,,,,,,,,,
𲥤,32964,CJK-J,,,,,,,,,,,
𲥥,32965,CJK-J,,,,,,,,,,,
𲥦,32966,CJK-J,,,,,,,,,,,
𲥧,32967,CJK-J,,,,,,,,,,,
𲥨,32968,CJK-J,,,,,,,,,,,
𲥩,32969,CJK-J,,,,,,,,,,,
𲥪,3296A,CJK-J,,,,,,,,,,,
𲥫,3296B,CJK-J,,,,,,,,,,,
𲥬,3296C,CJK-J,,,,,,,,,,,
𲥭,3296D,CJK-J,,,,,,,,,,,
𲥮,3296E,CJK-J,,,,,,,,,,,
𲥯,3296F,CJK-J,,,,,,,,,,,
𲥰,32970,CJK-J,,,,,,,,,,,
𲥱,32971,CJK-J,,,,,,,,,,,
𲥲,32972,CJK-J,,,,,,,,,,,
𲥳,32973,CJK-J,,,,,,,,,,,
𲥴,32974,CJK-J,,,,,,,,,,,
𲥵,32975,CJK-J,,,,,,,,,,,
𲥶,32976,CJK-J,,,,,,,,,,,
𲥷,32977,CJK-J,,,,,,,,,,,
𲥸,32978,CJK-J,,,,,,,,,,,
𲥹,32979,CJK-J,,,,,,,,,,,
𲥺,3297A,CJK-J,,,,,,,,,,,
𲥻,3297B,CJK-J,,,,,,,,,,,
𲥼,3297C,CJK-J,,,,,,,,,,,
𲥽,3297D,CJK-J,,,,,,,,,,,
𲥾,3297E,CJK-J,,,,,,,,,,,
𲥿,3297F,CJK-J,,,,,,,,,,,
𲦀,32980,CJK-J,,,,,,,,,,,
𲦁,32981,CJK-J,,,,,,,,,,,
𲦂,32982,CJK-J,,,,,,,,,,,
𲦃,32983,CJK-J,,,,,,,,,,,
𲦄,32984,CJK-J,,,,,,,,,,,
𲦅,32985,CJK-J,,,,,,,,,,,
𲦆,32986,CJK-J,,,,,,,,,,,
𲦇,32987,CJK-J,,,,,,,,,,,
𲦈,32988,CJK-J,,,,,,,,,,,
𲦉,32989,CJK-J,,,,,,,,,,,
𲦊,3298A,CJK-J,,,,,,,,,,,
𲦋,3298B,CJK-J,,,,,,,,,,,
𲦌,3298C,CJK-J,,,,,,,,,,,
𲦍,3298D,CJK-J,,,,,,,,,,,
𲦎,3298E,CJK-J,,,,,,,,,,,
𲦏,3298F,CJK-J,,,,,,,,,,,
𲦐,32990,CJK-J,,,,,,,,,,,
𲦑,32991,CJK-J,,,,,,,,,,,
𲦒,32992,CJK-J,,,,,,,,,,,
𲦓,32993,CJK-J,,,,,,,,,,,
𲦔,32994,CJK-J,,,,,,,,,,,
𲦕,32995,CJK-J,,,,,,,,,,,
𲦖,32996,CJK-J,,,,,,,,,,,
𲦗,32997,CJK-J,,,,,,,,,,,
𲦘,32998,CJK-J,,,,,,,,,,,
𲦙,32999,CJK-J,,,,,,,,,,,
𲦚,3299A,CJK-J,,,,,,,,,,,
𲦛,3299B,CJK-J,,,,,,,,,,,
𲦜,3299C,CJK-J,,,,,,,,,,,
𲦝,3299D,CJK-J,,,,,,,,,,,
𲦞,3299E,CJK-J,,,,,,,,,,,
𲦟,3299F,CJK-J,,,,,,,,,,,
𲦠,329A0,CJK-J,,,,,,,,,,,
𲦡,329A1,CJK-J,,,,,,,,,,,
𲦢,329A2,CJK-J,,,,,,,,,,,
𲦣,329A3,CJK-J,,,,,,,,,,,
𲦤,329A4,CJK-J,,,,,,,,,,,
𲦥,329A5,CJK-J,,,,,,,,,,,
𲦦,329A6,CJK-J,,,,,,,,,,,
𲦧,329A7,CJK-J,,,,,,,,,,,
𲦨,329A8,CJK-J,,,,,,,,,,,
𲦩,329A9,CJK-J,,,,,,,,,,,
𲦪,329AA,CJK-J,,,,,,,,,,,
𲦫,329AB,CJK-J,,,,,,,,,,,
𲦬,329AC,CJK-J,,,,,,,,,,,
𲦭,329AD,CJK-J,,,,,,,,,,,
𲦮,329AE,CJK-J,,,,,,,,,,,
𲦯,329AF,CJK-J,,,,,,,,,,,
𲦰,329B0,CJK-J,,,,,,,,,,,
𲦱,329B1,CJK-J,,,,,,,,,,,
𲦲,329B2,CJK-J,,,,,,,,,,,
𲦳,329B3,CJK-J,,,,,,,,,,,
𲦴,329B4,CJK-J,,,,,,,,,,,
𲦵,329B5,CJK-J,,,,,,,,,,,
𲦶,329B6,CJK-J,,,,,,,,,,,
𲦷,329B7,CJK-J,,,,,,,,,,,
𲦸,329B8,CJK-J,,,,,,,,,,,
𲦹,329B9,CJK-J,,,,,,,,,,,
𲦺,329BA,CJK-J,,,,,,,,,,,
𲦻,329BB,CJK-J,,,,,,,,,,,
𲦼,329BC,CJK-J,,,,,,,,,,,
𲦽,329BD,CJK-J,,,,,,,,,,,
𲦾,329BE,CJK-J,,,,,,,,,,,
𲦿,329BF,CJK-J,,,,,,,,,,,
𲧀,329C0,CJK-J,,,,,,,,,,,
𲧁,329C1,CJK-J,,,,,,,,,,,
𲧂,329C2,CJK-J,,,,,,,,,,,
𲧃,329C3,CJK-J,,,,,,,,,,,
𲧄,329C4,CJK-J,,,,,,,,,,,
𲧅,329C5,CJK-J,,,,,,,,,,,
𲧆,329C6,CJK-J,,,,,,,,,,,
𲧇,329C7,CJK-J,,,,,,,,,,,
𲧈,329C8,CJK-J,,,,,,,,,,,
𲧉,329C9,CJK-J,,,,,,,,,,,
𲧊,329CA,CJK-J,,,,,,,,,,,
𲧋,329CB,CJK-J,,,,,,,,,,,
𲧌,329CC,CJK-J,,,,,,,,,,,
𲧍,329CD,CJK-J,,,,,,,,,,,
𲧎,329CE,CJK-J,,,,,,,,,,,
𲧏,329CF,CJK-J,,,,,,,,,,,
𲧐,329D0,CJK-J,,,,,,,,,,,
𲧑,329D1,CJK-J,,,,,,,,,,,
𲧒,329D2,CJK-J,,,,,,,,,,,
𲧓,329D3,CJK-J,,,,,,,,,,,
𲧔,329D4,CJK-J,,,,,,,,,,,
𲧕,329D5,CJK-J,,,,,,,,,,,
𲧖,329D6,CJK-J,,,,,,,,,,,
𲧗,329D7,CJK-J,,,,,,,,,,,
𲧘,329D8,CJK-J,,,,,,,,,,,
𲧙,329D9,CJK-J,,,,,,,,,,,
𲧚,329DA,CJK-J,,,,,,,,,,,
𲧛,329DB,CJK-J,,,,,,,,,,,
𲧜,329DC,CJK-J,,,,,,,,,,,
𲧝,329DD,CJK-J,,,,,,,,,,,
𲧞,329DE,CJK-J,,,,,,,,,,,
𲧟,329DF,CJK-J,,,,,,,,,,,
𲧠,329E0,CJK-J,,,,,,,,,,,
𲧡,329E1,CJK-J,,,,,,,,,,,
𲧢,329E2,CJK-J,,,,,,,,,,,
𲧣,329E3,CJK-J,,,,,,,,,,,
𲧤,329E4,CJK-J,,,,,,,,,,,
𲧥,329E5,CJK-J,,,,,,,,,,,
𲧦,329E6,CJK-J,,,,,,,,,,,
𲧧,329E7,CJK-J,,,,,,,,,,,
𲧨,329E8,CJK-J,,,,,,,,,,,
𲧩,329E9,CJK-J,,,,,,,,,,,
𲧪,329EA,CJK-J,,,,,,,,,,,
𲧫,329EB,CJK-J,,,,,,,,,,,
𲧬,329EC,CJK-J,,,,,,,,,,,
𲧭,329ED,CJK-J,,,,,,,,,,,
𲧮,329EE,CJK-J,,,,,,,,,,,
𲧯,329EF,CJK-J,,,,,,,,,,,
𲧰,329F0,CJK-J,,,,,,,,,,,
𲧱,329F1,CJK-J,,,,,,,,,,,
𲧲,329F2,CJK-J,,,,,,,,,,,
𲧳,329F3,CJK-J,,,,,,,,,,,
𲧴,329F4,CJK-J,,,,,,,,,,,
𲧵,329F5,CJK-J,,,,,,,,,,,
𲧶,329F6,CJK-J,,,,,,,,,,,
𲧷,329F7,CJK-J,,,,,,,,,,,
𲧸,329F8,CJK-J,,,,,,,,,,,
𲧹,329F9,CJK-J,,,,,,,,,,,
𲧺,329FA,CJK-J,,,,,,,,,,,
𲧻,329FB,CJK-J,,,,,,,,,,,
𲧼,329FC,CJK-J,,,,,,,,,,,
𲧽,329FD,CJK-J,,,,,,,,,,,
𲧾,329FE,CJK-J,,,,,,,,,,,
𲧿,329FF,CJK-J,,,,,,,,,,,
𲨀,32A00,CJK-J,,,,,,,,,,,
𲨁,32A01,CJK-J,,,,,,,,,,,
𲨂,32A02,CJK-J,,,,,,,,,,,
𲨃,32A03,CJK-J,,,,,,,,,,,
𲨄,32A04,CJK-J,,,,,,,,,,,
𲨅,32A05,CJK-J,,,,,,,,,,,
𲨆,32A06,CJK-J,,,,,,,,,,,
𲨇,32A07,CJK-J,,,,,,,,,,,
𲨈,32A08,CJK-J,,,,,,,,,,,
𲨉,32A09,CJK-J,,,,,,,,,,,
𲨊,32A0A,CJK-J,,,,,,,,,,,
𲨋,32A0B,CJK-J,,,,,,,,,,,
𲨌,32A0C,CJK-J,,,,,,,,,,,
𲨍,32A0D,CJK-J,,,,,,,,,,,
𲨎,32A0E,CJK-J,,,,,,,,,,,
𲨏,32A0F,CJK-J,,,,,,,,,,,
𲨐,32A10,CJK-J,,,,,,,,,,,
𲨑,32A11,CJK-J,,,,,,,,,,,
𲨒,32A12,CJK-J,,,,,,,,,,,
𲨓,32A13,CJK-J,,,,,,,,,,,
𲨔,32A14,CJK-J,,,,,,,,,,,
𲨕,32A15,CJK-J,,,,,,,,,,,
𲨖,32A16,CJK-J,,,,,,,,,,,
𲨗,32A17,CJK-J,,,,,,,,,,,
𲨘,32A18,CJK-J,,,,,,,,,,,
𲨙,32A19,CJK-J,,,,,,,,,,,
𲨚,32A1A,CJK-J,,,,,,,,,,,
𲨛,32A1B,CJK-J,,,,,,,,,,,
𲨜,32A1C,CJK-J,,,,,,,,,,,
𲨝,32A1D,CJK-J,,,,,,,,,,,
𲨞,32A1E,CJK-J,,,,,,,,,,,
𲨟,32A1F,CJK-J,,,,,,,,,,,
𲨠,32A20,CJK-J,,,,,,,,,,,
𲨡,32A21,CJK-J,,,,,,,,,,,
𲨢,32A22,CJK-J,,,,,,,,,,,
𲨣,32A23,CJK-J,,,,,,,,,,,
𲨤,32A24,CJK-J,,,,,,,,,,,
𲨥,32A25,CJK-J,,,,,,,,,,,
𲨦,32A26,CJK-J,,,,,,,,,,,
𲨧,32A27,CJK-J,,,,,,,,,,,
𲨨,32A28,CJK-J,,,,,,,,,,,
𲨩,32A29,CJK-J,,,,,,,,,,,
𲨪,32A2A,CJK-J,,,,,,,,,,,
𲨫,32A2B,CJK-J,,,,,,,,,,,
𲨬,32A2C,CJK-J,,,,,,,,,,,
𲨭,32A2D,CJK-J,,,,,,,,,,,
𲨮,32A2E,CJK-J,,,,,,,,,,,
𲨯,32A2F,CJK-J,,,,,,,,,,,
𲨰,32A30,CJK-J,,,,,,,,,,,
𲨱,32A31,CJK-J,,,,,,,,,,,
𲨲,32A32,CJK-J,,,,,,,,,,,
𲨳,32A33,CJK-J,,,,,,,,,,,
𲨴,32A34,CJK-J,,,,,,,,,,,
𲨵,32A35,CJK-J,,,,,,,,,,,
𲨶,32A36,CJK-J,,,,,,,,,,,
𲨷,32A37,CJK-J,,,,,,,,,,,
𲨸,32A38,CJK-J,,,,,,,,,,,
𲨹,32A39,CJK-J,,,,,,,,,,,
𲨺,32A3A,CJK-J,,,,,,,,,,,
𲨻,32A3B,CJK-J,,,,,,,,,,,
𲨼,32A3C,CJK-J,,,,,,,,,,,
𲨽,32A3D,CJK-J,,,,,,,,,,,
𲨾,32A3E,CJK-J,,,,,,,,,,,
𲨿,32A3F,CJK-J,,,,,,,,,,,
𲩀,32A40,CJK-J,,,,,,,,,,,
𲩁,32A41,CJK-J,,,,,,,,,,,
𲩂,32A42,CJK-J,,,,,,,,,,,
𲩃,32A43,CJK-J,,,,,,,,,,,
𲩄,32A44,CJK-J,,,,,,,,,,,
𲩅,32A45,CJK-J,,,,,,,,,,,
𲩆,32A46,CJK-J,,,,,,,,,,,
𲩇,32A47,CJK-J,,,,,,,,,,,
𲩈,32A48,CJK-J,,,,,,,,,,,
𲩉,32A49,CJK-J,,,,,,,,,,,
𲩊,32A4A,CJK-J,,,,,,,,,,,
𲩋,32A4B,CJK-J,,,,,,,,,,,
𲩌,32A4C,CJK-J,,,,,,,,,,,
𲩍,32A4D,CJK-J,,,,,,,,,,,
𲩎,32A4E,CJK-J,,,,,,,,,,,
𲩏,32A4F,CJK-J,,,,,,,,,,,
𲩐,32A50,CJK-J,,,,,,,,,,,
𲩑,32A51,CJK-J,,,,,,,,,,,
𲩒,32A52,CJK-J,,,,,,,,,,,
𲩓,32A53,CJK-J,,,,,,,,,,,
𲩔,32A54,CJK-J,,,,,,,,,,,
𲩕,32A55,CJK-J,,,,,,,,,,,
𲩖,32A56,CJK-J,,,,,,,,,,,
𲩗,32A57,CJK-J,,,,,,,,,,,
𲩘,32A58,CJK-J,,,,,,,,,,,
𲩙,32A59,CJK-J,,,,,,,,,,,
𲩚,32A5A,CJK-J,,,,,,,,,,,
𲩛,32A5B,CJK-J,,,,,,,,,,,
𲩜,32A5C,CJK-J,,,,,,,,,,,
𲩝,32A5D,CJK-J,,,,,,,,,,,
𲩞,32A5E,CJK-J,,,,,,,,,,,
𲩟,32A5F,CJK-J,,,,,,,,,,,
𲩠,32A60,CJK-J,,,,,,,,,,,
𲩡,32A61,CJK-J,,,,,,,,,,,
𲩢,32A62,CJK-J,,,,,,,,,,,
𲩣,32A63,CJK-J,,,,,,,,,,,
𲩤,32A64,CJK-J,,,,,,,,,,,
𲩥,32A65,CJK-J,,,,,,,,,,,
𲩦,32A66,CJK-J,,,,,,,,,,,
𲩧,32A67,CJK-J,,,,,,,,,,,
𲩨,32A68,CJK-J,,,,,,,,,,,
𲩩,32A69,CJK-J,,,,,,,,,,,
𲩪,32A6A,CJK-J,,,,,,,,,,,
𲩫,32A6B,CJK-J,,,,,,,,,,,
𲩬,32A6C,CJK-J,,,,,,,,,,,
𲩭,32A6D,CJK-J,,,,,,,,,,,
𲩮,32A6E,CJK-J,,,,,,,,,,,
𲩯,32A6F,CJK-J,,,,,,,,,,,
𲩰,32A70,CJK-J,,,,,,,,,,,
𲩱,32A71,CJK-J,,,,,,,,,,,
𲩲,32A72,CJK-J,,,,,,,,,,,
𲩳,32A73,CJK-J,,,,,,,,,,,
𲩴,32A74,CJK-J,,,,,,,,,,,
𲩵,32A75,CJK-J,,,,,,,,,,,
𲩶,32A76,CJK-J,,,,,,,,,,,
𲩷,32A77,CJK-J,,,,,,,,,,,
𲩸,32A78,CJK-J,,,,,,,,,,,
𲩹,32A79,CJK-J,,,,,,,,,,,
𲩺,32A7A,CJK-J,,,,,,,,,,,
𲩻,32A7B,CJK-J,,,,,,,,,,,
𲩼,32A7C,CJK-J,,,,,,,,,,,
𲩽,32A7D,CJK-J,,,,,,,,,,,
𲩾,32A7E,CJK-J,,,,,,,,,,,
𲩿,32A7F,CJK-J,,,,,,,,,,,
𲪀,32A80,CJK-J,,,,,,,,,,,
𲪁,32A81,CJK-J,,,,,,,,,,,
𲪂,32A82,CJK-J,,,,,,,,,,,
𲪃,32A83,CJK-J,,,,,,,,,,,
𲪄,32A84,CJK-J,,,,,,,,,,,
𲪅,32A85,CJK-J,,,,,,,,,,,
𲪆,32A86,CJK-J,,,,,,,,,,,
𲪇,32A87,CJK-J,,,,,,,,,,,
𲪈,32A88,CJK-J,,,,,,,,,,,
𲪉,32A89,CJK-J,,,,,,,,,,,
𲪊,32A8A,CJK-J,,,,,,,,,,,
𲪋,32A8B,CJK-J,,,,,,,,,,,
𲪌,32A8C,CJK-J,,,,,,,,,,,
𲪍,32A8D,CJK-J,,,,,,,,,,,
𲪎,32A8E,CJK-J,,,,,,,,,,,
𲪏,32A8F,CJK-J,,,,,,,,,,,
𲪐,32A90,CJK-J,,,,,,,,,,,
𲪑,32A91,CJK-J,,,,,,,,,,,
𲪒,32A92,CJK-J,,,,,,,,,,,
𲪓,32A93,CJK-J,,,,,,,,,,,
𲪔,32A94,CJK-J,,,,,,,,,,,
𲪕,32A95,CJK-J,,,,,,,,,,,
𲪖,32A96,CJK-J,,,,,,,,,,,
𲪗,32A97,CJK-J,,,,,,,,,,,
𲪘,32A98,CJK-J,,,,,,,,,,,
𲪙,32A99,CJK-J,,,,,,,,,,,
𲪚,32A9A,CJK-J,,,,,,,,,,,
𲪛,32A9B,CJK-J,,,,,,,,,,,
𲪜,32A9C,CJK-J,,,,,,,,,,,
𲪝,32A9D,CJK-J,,,,,,,,,,,
𲪞,32A9E,CJK-J,,,,,,,,,,,
𲪟,32A9F,CJK-J,,,,,,,,,,,
𲪠,32AA0,CJK-J,,,,,,,,,,,
𲪡,32AA1,CJK-J,,,,,,,,,,,
𲪢,32AA2,CJK-J,,,,,,,,,,,
𲪣,32AA3,CJK-J,,,,,,,,,,,
𲪤,32AA4,CJK-J,,,,,,,,,,,
𲪥,32AA5,CJK-J,,,,,,,,,,,
𲪦,32AA6,CJK-J,,,,,,,,,,,
𲪧,32AA7,CJK-J,,,,,,,,,,,
𲪨,32AA8,CJK-J,,,,,,,,,,,
𲪩,32AA9,CJK-J,,,,,,,,,,,
𲪪,32AAA,CJK-J,,,,,,,,,,,
𲪫,32AAB,CJK-J,,,,,,,,,,,
𲪬,32AAC,CJK-J,,,,,,,,,,,
𲪭,32AAD,CJK-J,,,,,,,,,,,
𲪮,32AAE,CJK-J,,,,,,,,,,,
𲪯,32AAF,CJK-J,,,,,,,,,,,
𲪰,32AB0,CJK-J,,,,,,,,,,,
𲪱,32AB1,CJK-J,,,,,,,,,,,
𲪲,32AB2,CJK-J,,,,,,,,,,,
𲪳,32AB3,CJK-J,,,,,,,,,,,
𲪴,32AB4,CJK-J,,,,,,,,,,,
𲪵,32AB5,CJK-J,,,,,,,,,,,
𲪶,32AB6,CJK-J,,,,,,,,,,,
𲪷,32AB7,CJK-J,,,,,,,,,,,
𲪸,32AB8,CJK-J,,,,,,,,,,,
𲪹,32AB9,CJK-J,,,,,,,,,,,
𲪺,32ABA,CJK-J,,,,,,,,,,,
𲪻,32ABB,CJK-J,,,,,,,,,,,
𲪼,32ABC,CJK-J,,,,,,,,,,,
𲪽,32ABD,CJK-J,,,,,,,,,,,
𲪾,32ABE,CJK-J,,,,,,,,,,,
𲪿,32ABF,CJK-J,,,,,,,,,,,
𲫀,32AC0,CJK-J,,,,,,,,,,,
𲫁,32AC1,CJK-J,,,,,,,,,,,
𲫂,32AC2,CJK-J,,,,,,,,,,,
𲫃,32AC3,CJK-J,,,,,,,,,,,
𲫄,32AC4,CJK-J,,,,,,,,,,,
𲫅,32AC5,CJK-J,,,,,,,,,,,
𲫆,32AC6,CJK-J,,,,,,,,,,,
𲫇,32AC7,CJK-J,,,,,,,,,,,
𲫈,32AC8,CJK-J,,,,,,,,,,,
𲫉,32AC9,CJK-J,,,,,,,,,,,
𲫊,32ACA,CJK-J,,,,,,,,,,,
𲫋,32ACB,CJK-J,,,,,,,,,,,
𲫌,32ACC,CJK-J,,,,,,,,,,,
𲫍,32ACD,CJK-J,,,,,,,,,,,
𲫎,32ACE,CJK-J,,,,,,,,,,,
𲫏,32ACF,CJK-J,,,,,,,,,,,
𲫐,32AD0,CJK-J,,,,,,,,,,,
𲫑,32AD1,CJK-J,,,,,,,,,,,
𲫒,32AD2,CJK-J,,,,,,,,,,,
𲫓,32AD3,CJK-J,,,,,,,,,,,
𲫔,32AD4,CJK-J,,,,,,,,,,,
𲫕,32AD5,CJK-J,,,,,,,,,,,
𲫖,32AD6,CJK-J,,,,,,,,,,,
𲫗,32AD7,CJK-J,,,,,,,,,,,
𲫘,32AD8,CJK-J,,,,,,,,,,,
𲫙,32AD9,CJK-J,,,,,,,,,,,
𲫚,32ADA,CJK-J,,,,,,,,,,,
𲫛,32ADB,CJK-J,,,,,,,,,,,
𲫜,32ADC,CJK-J,,,,,,,,,,,
𲫝,32ADD,CJK-J,,,,,,,,,,,
𲫞,32ADE,CJK-J,,,,,,,,,,,
𲫟,32ADF,CJK-J,,,,,,,,,,,
𲫠,32AE0,CJK-J,,,,,,,,,,,
𲫡,32AE1,CJK-J,,,,,,,,,,,
𲫢,32AE2,CJK-J,,,,,,,,,,,
𲫣,32AE3,CJK-J,,,,,,,,,,,
𲫤,32AE4,CJK-J,,,,,,,,,,,
𲫥,32AE5,CJK-J,,,,,,,,,,,
𲫦,32AE6,CJK-J,,,,,,,,,,,
𲫧,32AE7,CJK-J,,,,,,,,,,,
𲫨,32AE8,CJK-J,,,,,,,,,,,
𲫩,32AE9,CJK-J,,,,,,,,,,,
𲫪,32AEA,CJK-J,,,,,,,,,,,
𲫫,32AEB,CJK-J,,,,,,,,,,,
𲫬,32AEC,CJK-J,,,,,,,,,,,
𲫭,32AED,CJK-J,,,,,,,,,,,
𲫮,32AEE,CJK-J,,,,,,,,,,,
𲫯,32AEF,CJK-J,,,,,,,,,,,
𲫰,32AF0,CJK-J,,,,,,,,,,,
𲫱,32AF1,CJK-J,,,,,,,,,,,
𲫲,32AF2,CJK-J,,,,,,,,,,,
𲫳,32AF3,CJK-J,,,,,,,,,,,
𲫴,32AF4,CJK-J,,,,,,,,,,,
𲫵,32AF5,CJK-J,,,,,,,,,,,
𲫶,32AF6,CJK-J,,,,,,,,,,,
𲫷,32AF7,CJK-J,,,,,,,,,,,
𲫸,32AF8,CJK-J,,,,,,,,,,,
𲫹,32AF9,CJK-J,,,,,,,,,,,
𲫺,32AFA,CJK-J,,,,,,,,,,,
𲫻,32AFB,CJK-J,,,,,,,,,,,
𲫼,32AFC,CJK-J,,,,,,,,,,,
𲫽,32AFD,CJK-J,,,,,,,,,,,
𲫾,32AFE,CJK-J,,,,,,,,,,,
𲫿,32AFF,CJK-J,,,,,,,,,,,
𲬀,32B00,CJK-J,,,,,,,,,,,
𲬁,32B01,CJK-J,,,,,,,,,,,
𲬂,32B02,CJK-J,,,,,,,,,,,
𲬃,32B03,CJK-J,,,,,,,,,,,
𲬄,32B04,CJK-J,,,,,,,,,,,
𲬅,32B05,CJK-J,,,,,,,,,,,
𲬆,32B06,CJK-J,,,,,,,,,,,
𲬇,32B07,CJK-J,,,,,,,,,,,
𲬈,32B08,CJK-J,,,,,,,,,,,
𲬉,32B09,CJK-J,,,,,,,,,,,
𲬊,32B0A,CJK-J,,,,,,,,,,,
𲬋,32B0B,CJK-J,,,,,,,,,,,
𲬌,32B0C,CJK-J,,,,,,,,,,,
𲬍,32B0D,CJK-J,,,,,,,,,,,
𲬎,32B0E,CJK-J,,,,,,,,,,,
𲬏,32B0F,CJK-J,,,,,,,,,,,
𲬐,32B10,CJK-J,,,,,,,,,,,
𲬑,32B11,CJK-J,,,,,,,,,,,
𲬒,32B12,CJK-J,,,,,,,,,,,
𲬓,32B13,CJK-J,,,,,,,,,,,
𲬔,32B14,CJK-J,,,,,,,,,,,
𲬕,32B15,CJK-J,,,,,,,,,,,
𲬖,32B16,CJK-J,,,,,,,,,,,
𲬗,32B17,CJK-J,,,,,,,,,,,
𲬘,32B18,CJK-J,,,,,,,,,,,
𲬙,32B19,CJK-J,,,,,,,,,,,
𲬚,32B1A,CJK-J,,,,,,,,,,,
𲬛,32B1B,CJK-J,,,,,,,,,,,
𲬜,32B1C,CJK-J,,,,,,,,,,,
𲬝,32B1D,CJK-J,,,,,,,,,,,
𲬞,32B1E,CJK-J,,,,,,,,,,,
𲬟,32B1F,CJK-J,,,,,,,,,,,
𲬠,32B20,CJK-J,,,,,,,,,,,
𲬡,32B21,CJK-J,,,,,,,,,,,
𲬢,32B22,CJK-J,,,,,,,,,,,
𲬣,32B23,CJK-J,,,,,,,,,,,
𲬤,32B24,CJK-J,,,,,,,,,,,
𲬥,32B25,CJK-J,,,,,,,,,,,
𲬦,32B26,CJK-J,,,,,,,,,,,
𲬧,32B27,CJK-J,,,,,,,,,,,
𲬨,32B28,CJK-J,,,,,,,,,,,
𲬩,32B29,CJK-J,,,,,,,,,,,
𲬪,32B2A,CJK-J,,,,,,,,,,,
𲬫,32B2B,CJK-J,,,,,,,,,,,
𲬬,32B2C,CJK-J,,,,,,,,,,,
𲬭,32B2D,CJK-J,,,,,,,,,,,
𲬮,32B2E,CJK-J,,,,,,,,,,,
𲬯,32B2F,CJK-J,,,,,,,,,,,
𲬰,32B30,CJK-J,,,,,,,,,,,
𲬱,32B31,CJK-J,,,,,,,,,,,
𲬲,32B32,CJK-J,,,,,,,,,,,
𲬳,32B33,CJK-J,,,,,,,,,,,
𲬴,32B34,CJK-J,,,,,,,,,,,
𲬵,32B35,CJK-J,,,,,,,,,,,
𲬶,32B36,CJK-J,,,,,,,,,,,
𲬷,32B37,CJK-J,,,,,,,,,,,
𲬸,32B38,CJK-J,,,,,,,,,,,
𲬹,32B39,CJK-J,,,,,,,,,,,
𲬺,32B3A,CJK-J,,,,,,,,,,,
𲬻,32B3B,CJK-J,,,,,,,,,,,
𲬼,32B3C,CJK-J,,,,,,,,,,,
𲬽,32B3D,CJK-J,,,,,,,,,,,
𲬾,32B3E,CJK-J,,,,,,,,,,,
𲬿,32B3F,CJK-J,,,,,,,,,,,
𲭀,32B40,CJK-J,,,,,,,,,,,
𲭁,32B41,CJK-J,,,,,,,,,,,
𲭂,32B42,CJK-J,,,,,,,,,,,
𲭃,32B43,CJK-J,,,,,,,,,,,
𲭄,32B44,CJK-J,,,,,,,,,,,
𲭅,32B45,CJK-J,,,,,,,,,,,
𲭆,32B46,CJK-J,,,,,,,,,,,
𲭇,32B47,CJK-J,,,,,,,,,,,
𲭈,32B48,CJK-J,,,,,,,,,,,
𲭉,32B49,CJK-J,,,,,,,,,,,
𲭊,32B4A,CJK-J,,,,,,,,,,,
𲭋,32B4B,CJK-J,,,,,,,,,,,
𲭌,32B4C,CJK-J,,,,,,,,,,,
𲭍,32B4D,CJK-J,,,,,,,,,,,
𲭎,32B4E,CJK-J,,,,,,,,,,,
𲭏,32B4F,CJK-J,,,,,,,,,,,
𲭐,32B50,CJK-J,,,,,,,,,,,
